2.80E-06	1.08E+10
3.00E-06	1.68E+10
3.20E-06	1.41E+10
3.40E-06	1.99E+10
3.60E-06	1.63E+10
3.80E-06	1.61E+10
4.00E-06	1.63E+10
4.25E-06	1.78E+10
4.50E-06	1.65E+10
4.75E-06	1.66E+10
5.00E-06	1.76E+10
5.25E-06	1.58E+10
5.50E-06	1.25E+10
5.75E-06	1.52E+10
6.00E-06	1.58E+10
6.30E-06	1.53E+10
6.60E-06	1.38E+10
6.90E-06	1.66E+10
7.20E-06	9.13E+09
7.60E-06	1.53E+10
8.00E-06	1.26E+10
8.40E-06	1.15E+10
8.80E-06	1.40E+10
9.20E-06	1.04E+10
9.60E-06	1.07E+10
1.00E-05	1.34E+10
1.05E-05	1.56E+10
1.10E-05	1.52E+10
1.15E-05	1.13E+10
1.20E-05	9.65E+09
1.28E-05	1.59E+10
1.35E-05	1.45E+10
1.43E-05	1.78E+10
1.50E-05	1.39E+10
1.60E-05	2.47E+10
1.70E-05	1.84E+10
1.80E-05	1.65E+10
1.90E-05	1.47E+10
2.00E-05	1.66E+10
2.10E-05	1.50E+10
2.20E-05	1.78E+10
2.30E-05	1.21E+10
2.40E-05	1.00E+10
2.55E-05	2.01E+10
2.70E-05	1.95E+10
2.80E-05	9.97E+09
3.00E-05	1.70E+10
3.20E-05	1.71E+10
3.40E-05	1.80E+10
3.60E-05	1.72E+10
3.80E-05	1.87E+10
4.00E-05	1.42E+10
4.25E-05	1.65E+10
4.50E-05	1.72E+10
4.75E-05	1.98E+10
5.00E-05	1.22E+10
5.25E-05	1.22E+10
5.50E-05	1.47E+10
5.75E-05	1.42E+10
6.00E-05	1.32E+10
6.30E-05	1.22E+10
6.60E-05	8.55E+09
6.90E-05	1.45E+10
7.20E-05	1.25E+10
7.60E-05	1.23E+10
8.00E-05	1.10E+10
8.40E-05	1.58E+10
8.80E-05	8.37E+09
9.20E-05	1.38E+10
9.60E-05	1.15E+10
1.00E-04	1.10E+10
1.05E-04	1.26E+10
1.10E-04	1.20E+10
1.15E-04	9.40E+09
1.20E-04	6.88E+09
1.28E-04	1.95E+10
1.35E-04	1.93E+10
1.43E-04	1.30E+10
1.50E-04	1.29E+10
1.60E-04	1.71E+10
1.70E-04	1.69E+10
1.80E-04	1.28E+10
1.90E-04	1.20E+10
2.00E-04	1.61E+10
2.10E-04	1.64E+10
2.20E-04	1.32E+10
2.30E-04	1.13E+10
2.40E-04	1.23E+10
2.55E-04	1.72E+10
2.70E-04	1.37E+10
2.80E-04	9.58E+09
3.00E-04	1.31E+10
3.20E-04	1.39E+10
3.40E-04	1.58E+10
3.60E-04	1.10E+10
3.80E-04	1.56E+10
4.00E-04	1.20E+10
4.25E-04	1.73E+10
4.50E-04	1.55E+10
4.75E-04	1.20E+10
5.00E-04	1.52E+10
5.25E-04	1.14E+10
5.50E-04	1.16E+10
5.75E-04	8.83E+09
6.00E-04	8.96E+09
6.30E-04	1.13E+10
6.60E-04	1.37E+10
6.90E-04	1.28E+10
7.20E-04	9.73E+09
7.60E-04	1.18E+10
8.00E-04	1.53E+10
8.40E-04	1.13E+10
8.80E-04	1.08E+10
9.20E-04	9.96E+09
9.60E-04	1.23E+10
1.00E-03	1.03E+10
1.05E-03	1.01E+10
1.10E-03	1.21E+10
1.15E-03	1.03E+10
1.20E-03	1.01E+10
1.28E-03	1.75E+10
1.35E-03	1.08E+10
1.43E-03	1.62E+10
1.50E-03	1.40E+10
1.60E-03	2.03E+10
1.70E-03	2.17E+10
1.80E-03	1.58E+10
1.90E-03	1.63E+10
2.00E-03	1.11E+10
2.10E-03	1.03E+10
2.20E-03	9.62E+09
2.30E-03	1.17E+10
2.40E-03	9.41E+09
2.55E-03	1.40E+10
2.70E-03	1.79E+10
2.80E-03	7.59E+09
3.00E-03	1.56E+10
3.20E-03	1.62E+10
